Timestamp,Flow Bytes/s,Flow Packets/s,Label
50:17.2,95238.09524,15873.01587,BENIGN
50:17.2,120000,20000,BENIGN
50:17.3,356363.6364,21818.18182,BENIGN
50:17.3,337.1733633,56.19556055,BENIGN
50:17.7,6000000,1000000,BENIGN
50:17.7,4000000,666666.6667,BENIGN
50:17.7,4000000,666666.6667,BENIGN
50:17.9,6.045770051,0.186023694,BENIGN
50:18.2,42244.50608,512.0546192,BENIGN
50:18.2,4135.601118,58.24790308,BENIGN
50:18.2,2642.355033,2.963971328,BENIGN
50:26.1,13697.39569,180.2288907,BENIGN
50:26.1,45393.44721,101.5121815,BENIGN
50:26.4,236.7237434,39.45395723,BENIGN
50:26.5,109090.9091,18181.81818,BENIGN
50:40.2,0,0.666361843,BENIGN
50:46.7,0,0.339416238,BENIGN
50:55.8,0,0.455794183,BENIGN
51:04.7,1069.423403,44.55930844,BENIGN
51:09.7,286031.0421,8869.179601,BENIGN
51:09.7,221269.2967,6861.063465,BENIGN
51:09.7,37000000,2000000,BENIGN
51:09.7,37000000,2000000,BENIGN
51:09.7,37000000,2000000,BENIGN
51:09.7,6000000,1000000,BENIGN
51:09.7,4000000,666666.6667,BENIGN
51:09.7,6000000,1000000,BENIGN
51:09.7,6000000,1000000,BENIGN
51:09.7,4000000,666666.6667,BENIGN
51:09.7,6000000,1000000,BENIGN
51:10.7,513944.2231,15936.25498,BENIGN
51:10.7,37000000,2000000,BENIGN
51:10.7,37000000,2000000,BENIGN
51:10.7,6000000,1000000,BENIGN
51:10.7,95744.68085,15957.44681,BENIGN
51:10.7,4000000,666666.6667,BENIGN
51:10.7,6000000,1000000,BENIGN
51:11.7,63515.5096,1969.473166,BENIGN
51:11.7,123563.2184,3831.417625,BENIGN
51:11.7,71428.57143,2214.839424,BENIGN
51:11.7,91945.83036,2851.0335,BENIGN
51:11.7,82375.47893,2554.278416,BENIGN
51:11.7,318518.5185,9876.54321,BENIGN
51:11.7,198767.3344,6163.328197,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,37000000,2000000,BENIGN
51:11.7,6000000,1000000,BENIGN
51:11.7,95744.68085,15957.44681,BENIGN
51:11.7,9000000,1500000,BENIGN
51:11.7,96774.19355,16129.03226,BENIGN
51:11.7,6000000,1000000,BENIGN
51:11.7,127659.5745,21276.59574,BENIGN
51:11.7,6000000,1000000,BENIGN
51:11.7,12000000,2000000,BENIGN
51:11.7,12000000,2000000,BENIGN
51:11.7,6000000,1000000,BENIGN
51:11.7,12000000,2000000,BENIGN
51:11.7,12000000,2000000,BENIGN
51:11.7,4000000,666666.6667,BENIGN
51:11.7,4000000,666666.6667,BENIGN
51:11.7,12000000,2000000,BENIGN
51:17.6,38589.78774,51.46938981,BENIGN
51:17.6,1116.142046,11.38920455,BENIGN
51:17.6,14388.48921,191.8465228,BENIGN
51:17.6,12084.59215,185.9168022,BENIGN
51:17.6,12330.6866,186.8285848,BENIGN
51:17.6,36.12291569,0.622808891,BENIGN
